kommun;kommun original;age;metric;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
DivtasvuodnaTysfjord;1850 Divtasvuodna - Tysfjord (-2019);All ages;Average Gross income;169900;180900;192600;207900;210900;215800;223600;237700;252000;276200;282000;293100;308000;318400;331200;344700;361200;367800;372800;390900;408000;0;0;0;0
Dønna;1827 Dønna;All ages;Average Gross income;168500;179300;189700;202500;205900;209700;223700;227200;262100;281400;287600;299800;327800;332700;355400;369400;379900;391500;397400;475500;447300;455200;512100;506400;553300
Dovre;3431 Dovre;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;415700;440400;461200;495200
Dovre;0511 Dovre (-2019);All ages;Average Gross income;181800;196800;205600;215900;218300;224800;238500;241300;263200;280600;281300;292200;308200;315800;332800;343500;358100;360200;376400;392300;409200;0;0;0;0
Drammen;3005 Drammen (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;477700;523300;526300;554900
Drammen;0602 Drammen (-2019);All ages;Average Gross income;226800;247000;248700;271200;276600;292900;315100;289100;316300;344400;344600;354800;371100;388000;400200;410200;435800;432500;442100;456100;475700;0;0;0;0
Drammen;3301 Drammen;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Drangedal;3815 Drangedal (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;421500;440700;460600;494600
Drangedal;4016 Drangedal;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Drangedal;0817 Drangedal (-2019);All ages;Average Gross income;175200;187100;195500;210100;217400;219500;243900;243000;265400;283900;285300;298800;314900;328300;343200;352100;362000;369700;382200;394900;411900;0;0;0;0
Dyrøy;5528 Dyrøy;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dyrøy;5420 Dyrøy (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;422100;450400;454100;499000
Dyrøy;1926 Dyrøy (-2019);All ages;Average Gross income;167000;176200;190800;195200;203500;209300;217400;229600;252000;276100;280900;293400;309600;320400;334200;349600;360600;376800;383300;397400;412400;0;0;0;0
Eid;1443 Eid (-2019);All ages;Average Gross income;195100;205400;216600;232600;242300;250200;257500;256700;282900;304900;307900;320500;343800;354700;375400;385000;396100;400900;412300;429000;437600;0;0;0;0
Eide;1551 Eide (-2019);All ages;Average Gross income;201300;209600;221400;234600;238000;254900;273000;266300;293000;319900;326400;332500;347000;361400;375900;398100;416000;420900;429600;445100;465200;0;0;0;0
Eidfjord;4619 Eidfjord;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;493100;551500;570100;565700
Eidfjord;1232 Eidfjord (-2019);All ages;Average Gross income;188000;203000;214600;228700;237100;242800;283800;267600;294300;319200;320700;333300;352200;376400;396900;415300;441700;472400;457100;461300;486000;0;0;0;0
Eidsberg;0125 Eidsberg (-2019);All ages;Average Gross income;201400;219100;224800;242300;253200;257800;279600;262100;286000;308800;306100;315700;328700;334800;348100;359100;381500;384000;400700;410800;429300;0;0;0;0
Eidskog;3416 Eidskog;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;401800;434500;446400;479300
Eidskog;0420 Eidskog (-2019);All ages;Average Gross income;176400;187900;203900;207500;212300;220300;231500;230400;251700;268300;272600;281200;299700;310200;318600;329700;347100;355100;365300;377000;391600;0;0;0;0
Eidsvoll;3240 Eidsvoll;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eidsvoll;3035 Eidsvoll (2020-2023);All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;459000;486500;507900;534700
Eidsvoll;0237 Eidsvoll (-2019);All ages;Average Gross income;214400;235500;237800;257300;261500;262500;281000;280300;303600;326100;327000;337700;353900;368400;381100;393500;408500;415400;423700;440100;451900;0;0;0;0
Eigersund;1101 Eigersund;All ages;Average Gross income;214300;224900;236400;259200;262200;267500;301500;285800;316700;345200;349500;359600;374900;399700;416100;432800;445800;435000;438400;453400;499000;490000;520700;525600;560700
Elverum;3420 Elverum;All ages;Average Gross income;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;446700;478000;489200;521800
