Kommun,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021
Skurup,"173,559","177,283","175,546","174,854","177,028","182,196","187,395","197,613","206,277","213,548","215,215","220,318","223,470","229,789","232,820","236,679","241,080","241,565","246,977","247,414","252,661","259,522","264,660","271,000","280,194","287,360","289,846","293,160","296,267","304,407","309,440"
Sjöbo,"165,100","166,794","164,680","166,840","167,768","171,048","177,180","186,821","193,794","198,397","202,489","207,357","211,215","215,767","219,939","223,937","228,104","231,681","238,616","239,746","238,643","244,398","252,155","257,095","268,038","273,282","276,093","279,672","283,677","292,188","295,907"
Hörby,"163,438","167,680","165,104","166,819","167,560","171,705","176,339","185,499","193,452","198,516","203,073","207,410","211,311","217,078","220,782","224,215","227,569","228,670","234,982","235,717","236,996","244,093","250,240","256,615","265,860","271,522","273,840","275,792","281,760","290,751","295,326"
Höör,"176,127","181,124","178,368","179,250","181,155","186,963","190,707","198,529","204,793","210,827","214,579","220,201","224,425","229,834","233,555","239,160","243,833","246,047","254,431","254,666","257,028","263,451","270,021","277,317","286,794","294,351","298,072","300,755","301,335","308,184","311,788"
Tomelilla,"154,677","158,373","158,471","158,874","161,551","165,156","170,765","179,960","187,826","193,749","197,232","204,318","208,535","213,739","215,809","218,960","221,196","221,028","227,114","226,783","226,521","232,386","240,070","242,506","252,404","259,256","262,419","261,900","261,794","268,312","271,695"
Bromölla,"185,945","190,579","187,541","187,092","189,953","195,011","202,941","210,201","219,674","224,523","227,152","231,653","234,295","239,073","243,305","245,319","245,524","247,598","248,944","245,718","244,067","249,592","253,869","258,363","266,879","276,370","280,260","281,700","283,912","287,920","291,472"
Osby,"175,673","179,794","177,522","178,540","179,163","183,066","187,509","196,984","205,188","210,366","212,656","218,897","220,957","225,263","227,012","232,182","236,475","236,620","240,602","238,308","235,535","240,904","243,900","247,177","257,130","263,345","267,939","272,566","275,865","280,907","286,070"
Perstorp,"185,341","188,511","184,719","186,266","190,786","195,763","197,699","205,732","215,159","221,209","218,429","218,636","219,698","221,559","224,448","226,279","222,724","222,573","224,237","217,036","217,346","221,944","227,359","230,261","232,578","241,906","246,781","246,386","246,607","249,130","254,269"
Klippan,"173,861","176,987","173,571","173,747","175,610","180,797","185,042","192,590","200,619","205,630","209,226","211,381","213,534","217,300","221,041","224,425","226,874","226,521","230,849","228,876","230,222","236,005","240,374","243,213","249,534","256,802","259,883","261,852","265,043","272,562","275,656"
Åstorp,"186,398","189,397","184,719","184,051","186,385","190,153","195,454","203,398","209,325","213,549","216,931","222,195","225,635","231,017","232,843","235,783","238,111","237,300","238,043","236,490","236,726","242,719","249,903","251,387","261,681","267,826","269,667","275,904","279,110","284,744","291,472"
Båstad,"168,876","169,305","166,374","169,289","173,766","179,330","186,430","193,613","199,630","205,739","209,414","216,699","221,744","226,181","229,472","232,285","239,814","242,658","248,945","247,075","247,253","251,995","259,162","262,487","272,243","279,767","284,473","286,667","290,885","300,460","307,643"
Malmö,"180,960","183,340","178,510","176,129","176,188","179,144","181,733","189,489","195,024","197,440","199,346","202,936","205,464","207,920","210,599","213,400","212,618","211,639","213,091","209,375","220,051","226,284","235,277","240,121","250,460","259,755","263,958","267,171","272,497","279,190","283,481"
Lund,"189,268","189,102","183,025","182,012","182,510","186,958","191,644","201,267","210,541","217,035","221,160","224,085","226,069","230,913","233,435","240,553","245,078","246,448","248,577","244,702","246,729","253,264","260,462","261,907","273,330","281,205","283,188","285,401","285,703","289,441","290,028"
Landskrona,"181,262","185,851","182,179","180,047","180,945","185,525","190,859","198,602","203,243","207,155","208,196","211,545","214,452","217,145","220,441","222,872","225,910","226,416","229,766","226,551","226,509","232,851","238,936","241,932","250,265","258,522","262,779","266,302","271,971","279,529","284,246"
Helsingborg,"185,945","189,102","185,424","185,660","186,695","191,412","194,854","203,016","210,541","215,342","219,328","225,002","229,164","234,102","238,553","241,916","246,684","247,008","251,693","248,189","250,151","255,732","264,067","266,710","275,966","284,856","288,565","292,586","294,636","299,229","303,119"
Höganäs,"183,528","187,624","186,412","187,368","189,816","195,329","201,475","210,289","219,759","225,656","229,350","234,615","237,857","243,161","247,542","251,476","256,715","259,512","266,974","264,541","264,469","271,180","280,140","286,077","294,596","301,337","305,697","306,460","307,396","314,491","319,311"
Eslöv,"181,867","184,817","183,449","183,674","185,007","189,584","193,827","203,059","209,680","214,651","218,442","224,548","227,716","232,235","235,088","239,627","242,268","247,004","251,725","249,587","251,344","257,968","266,054","271,285","280,429","286,337","289,808","291,910","294,810","301,466","306,857"
Ystad,"178,543","182,454","179,356","181,936","182,530","187,462","191,315","198,887","207,818","213,239","217,524","221,720","226,958","232,440","236,447","240,209","243,648","245,253","251,775","251,273","251,821","258,099","264,375","270,355","281,009","286,326","289,263","292,057","295,318","301,197","305,639"
Trelleborg,"183,830","186,590","182,461","183,063","184,834","189,767","194,220","203,019","211,206","215,961","219,282","223,135","226,702","230,730","234,055","237,983","241,762","243,512","248,581","248,059","249,190","254,057","260,357","265,775","274,120","282,287","286,436","289,735","294,624","301,305","305,018"
Kristianstad,"183,377","186,295","184,154","184,370","185,771","190,961","195,656","203,007","210,940","216,393","218,912","223,905","228,534","233,847","236,715","240,761","242,871","244,362","248,161","246,039","245,407","248,956","255,103","258,436","267,881","276,480","281,164","283,662","285,620","291,940","294,688"
Simrishamn,"166,459","170,044","167,926","169,534","170,598","173,517","179,681","188,588","196,286","200,859","203,570","208,216","211,892","216,265","220,596","221,557","223,779","224,163","230,367","227,687","226,074","231,998","237,632","241,526","248,451","254,375","258,159","258,836","259,203","267,969","272,759"
Ängelholm,"181,262","184,522","181,473","183,156","184,351","190,566","194,838","202,986","210,297","216,831","222,119","228,106","231,940","235,973","240,352","244,732","249,712","252,500","260,041","258,777","258,689","265,562","272,809","278,767","287,040","296,094","299,775","302,844","306,467","314,501","319,900"
Hässleholm,"174,918","176,987","174,558","175,140","177,065","181,891","185,923","193,773","201,364","205,732","208,813","213,583","218,536","223,260","228,261","231,369","232,742","233,737","238,307","234,060","234,289","237,365","244,628","247,192","256,940","265,008","268,326","269,196","271,669","276,594","280,881"
HALLANDS LÄN,"182,320","185,261","182,743","183,600","185,436","191,906","196,408","204,532","213,366","219,892","223,907","229,488","233,953","240,599","246,032","250,756","255,844","259,035","265,602","264,793","266,091","273,573","280,271","285,613","295,508","303,437","307,610","310,864","312,855","317,727","321,272"
Hylte,"173,559","177,578","174,982","175,316","178,488","186,514","190,148","199,001","207,152","213,370","216,721","222,116","225,297","232,864","236,587","239,291","242,149","244,802","248,046","248,665","246,272","256,191","258,422","261,472","265,384","271,189","274,988","278,638","278,468","281,462","282,648"
Halmstad,"182,773","185,408","182,320","182,797","184,191","189,697","193,467","200,730","208,148","213,919","217,555","223,154","227,475","233,358","239,191","243,337","248,663","251,377","256,539","255,374","255,683","262,963","268,909","271,894","281,107","290,445","294,505","296,877","298,998","303,182","305,997"
Laholm,"162,683","164,725","164,398","166,295","168,076","173,814","177,604","186,362","194,039","200,105","204,033","210,201","215,531","220,886","224,570","229,773","234,087","236,540","241,197","240,924","243,122","249,429","256,032","259,220","268,673","275,073","278,324","282,089","282,905","290,301","294,580"
Falkenberg,"173,106","176,692","173,712","174,394","175,651","181,147","185,197","193,420","200,836","205,748","209,138","215,988","221,046","226,998","231,818","235,430","241,191","244,708","251,533","250,123","252,085","258,469","265,752","269,587","277,705","283,098","286,702","291,167","293,222","297,200","298,363"
Varberg,"177,033","180,385","178,227","178,949","179,193","185,821","190,691","199,296","207,499","212,854","216,887","222,850","227,424","234,603","240,172","245,252","250,051","254,693","261,627","261,732","263,392","271,029","278,023","285,787","297,904","305,426","309,356","313,726","314,796","321,073","324,443"
Kungsbacka,"205,129","207,125","202,922","204,645","206,795","215,844","222,615","232,687","242,553","251,321","256,286","262,978","266,360","274,484","279,705","286,112","291,432","294,243","301,534","301,253","302,030","311,394","318,939","327,168","338,347","347,737","353,250","355,749","358,828","366,751","371,809"
VÄSTRA GÖTALANDS LÄN,"191,987","194,272","189,799","189,036","190,705","196,029","199,096","208,622","217,602","223,749","228,010","233,135","236,849","241,978","246,486","250,387","255,071","257,374","261,354","258,480","259,428","267,040","273,453","278,714","290,373","299,471","304,935","308,548","311,144","314,827","318,286"
