HändelseID,Individ,Fynddatum,Undersökt,Undersökt datum,Datum mottaget,Skada på,Ange vad som skadats,Ras,Ange ras,"Skadedatum, från","Skadedatum, till",Osäkert skadedatum,Antal döda under 1 år,Antal avlivade under 1 år,Antal skadade under 1 år,Antal saknade under 1 år,Antal döda 1 till 2 år,Antal avlivade 1 till 2 år,Antal skadade 1 till 2 år,Antal saknade 1 till 2 år,Antal döda över 2 år,Antal avlivade över 2 år,Antal skadade över 2 år,Antal saknade över 2 år,Antal döda körren,Antal avlivade körren,Antal skadade körren,Antal saknade körren,Skadeomfattning antal (inte djur),Skadeorsak,Ange skadeorsak,Betestyp,Kontrolltyp,Bedömning,KommunID,Fyndplats,Nord (UTM33/SWEREF99 TM),Öst (UTM33/SWEREF99 TM),Nord (RT90),Öst (RT90),Koordinatsystem,Platskvalitet,Godkänd datum,Visa publikt,Uppgifterna tillgängliga från,Låst,Låst datum,Senast sparad datum,Kommunenummer,Kommune,Fylkenummer,Fylke
V447064,,2013.03.31,Ja,2013.03.31,2013.03.31,Ren,,,,2013.03.31,2013.03.31,Nej,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2284,Risåvägen,7084391,611124,7085444,1571609,RT90,Mindre bra,2013.04.02,Ja,,Nej,,2013.04.02,2-2284,Örnsköldsvik (S),2-22,Västernorrlands län (S)
V447221,,2013.04.09,Ja,2013.04.09,2013.04.09,Ren,,,,2013.04.09,2013.04.09,Nej,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Västra Kortingvattnet,7077900,594598,7079160,1554997,RT90,Exakt,2013.04.09,Ja,,Nej,,2013.04.09,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V447895,,2013.03.09,Ja,2013.05.09,,Ren,,,,2013.03.09,2013.03.09,Ja,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Stjärn tjärnarna,7067336,608871,7068413,1569140,RT90,Exakt,2013.05.21,Ja,,Nej,,2013.05.21,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V447896,,2013.03.08,Ja,2013.03.08,,Ren,,,,2013.03.07,2013.03.07,Nej,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,,7071508,606755,7072613,1567076,RT90,Exakt,2013.03.08,Ja,,Nej,,2013.05.21,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V447897,,2013.03.08,Ja,2013.03.08,,Ren,,,,2013.03.08,2013.03.08,Ja,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2283,Lillsele,7076346,602203,7077509,1562584,RT90,Exakt,2013.03.08,Ja,,Nej,,2013.05.21,2-2283,Sollefteå (S),2-22,Västernorrlands län (S)
V448163,,2013.05.05,Ja,2013.05.05,2013.05.05,Ren,,,,2013.05.04,2013.05.04,Nej,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Dokumenterad,2-2039,Hällsjövåla,6886655,371817,6890639,1329736,RT90,Mycket bra,2013.06.03,Ja,,Nej,,2013.06.03,2-2039,Älvdalen (S),2-20,Dalarnas län (S)
V448164,,2013.05.05,Nej,2013.05.05,2013.05.05,Ren,,,,2013.05.04,2013.05.04,Nej,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Bedömd som säker,2-2039,Storbäcken,6886661,370969,6890655,1328887,RT90,Mycket bra,2013.06.03,Ja,,Nej,,2013.06.03,2-2039,Älvdalen (S),2-20,Dalarnas län (S)
V448165,,2013.05.05,Nej,2013.05.05,2013.05.05,Ren,,,,2013.05.04,2013.05.04,Nej,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Bedömd som säker,2-2039,Storbäcken,6886509,368741,6890531,1326656,RT90,Mycket bra,2013.06.03,Ja,,Nej,,2013.06.03,2-2039,Älvdalen (S),2-20,Dalarnas län (S)
V448166,,2013.05.05,Nej,2013.05.05,2013.05.05,Ren,,,,2013.05.04,2013.05.04,Nej,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Bedömd som säker,2-2039,Storbäcken,6887248,369326,6891263,1327251,RT90,Mycket bra,2013.06.03,Ja,,Nej,,2013.06.03,2-2039,Älvdalen (S),2-20,Dalarnas län (S)
V448167,,2013.05.05,Ja,2013.05.05,2013.05.05,Ren,,,,2013.05.04,2013.05.04,Nej,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Varg,,Bete utan stängsel,Fältkontroll - LST,Bedömd som säker,2-2039,Storbäcken,6886592,369334,6890607,1327251,RT90,Mycket bra,2013.06.03,Ja,,Nej,,2013.06.03,2-2039,Älvdalen (S),2-20,Dalarnas län (S)
