mod_id,id,sex,Country_fatefile,territory,Revir_Vinter,Autumn,Spring,Fate,confirmed.illegal,Radio.collar,Comment,geometry,NAME_1,NAME_2,KommunerNamn,SLU.ID,ruggedness_mean,average_gravel_km,average_paved_km,artificial_area_total,pop_mean,mean_snow,hunt_afo,hunt_county2,Fi,number_neighbour_terr,bear_density_BZtiff,mean_fi,max_fi,wolfLKill_cumall,wolfLKill_last5y,wolfLKill_n,NoAffectedSheep_cumall,NoAffectedSheep_last5y,NoAffectedSheep,sheepAttacks_n,AttackDogs_cumall,AttackDogs_last5y,AttackDogs_n,IndividualIncome,income_prop,year_average,first_yeardet,last_yeardet,years_firstdet,time_start,time_end
980,G27-12,M,S,Glaskogen 3,Glaskogen_1213,2012,2013,NA,NA,0,NA,"c(11.9296155284103, 59.2394858805278)",Värmland,Årjäng,årjäng,G27-12,0.392,1.07,0.24,0.00122,11.475,67.9670138888889,4.4,4,0.261963,1,0,0.2795715,0.29718,1,1,0,17,11,1,1,8,5,1,234117,0.8829942000477531,265139.9069069069,2011,2016,1,1,2
981,G56-11,F,S,Glaskogen 3,Glaskogen_1213,2012,2013,NA,NA,0,NA,"c(11.9296155284103, 59.2394858805278)",Värmland,Årjäng,årjäng,G56-11,0.392,1.07,0.24,0.00122,11.475,67.9670138888889,4.4,4,0.29718,1,0,0.2795715,0.29718,1,1,0,17,11,1,1,8,5,1,234117,0.8829942000477531,265139.9069069069,2011,2016,1,1,2
1095,G12-10,F,S,Djurskog 3,Djurskog_1112,2011,2012,NA,NA,0,NA,"c(12.1385025845785, 12.092888805883, 59.5646717361188, 59.5789651551575)",Värmland,Årjäng,årjäng,G12-10,0.378,1.17,0.29,0.00161,7.355,80.1935483870968,NA,3.7,0,1,1.1e-7,0.1380615,0.276123,1,1,0,16,10,10,1,7,4,2,203377,0.7877117506535144,258187.08408408408,2010,2013,1,1,2
1096,G22-12,M,S,Djurskog 3,Djurskog_1112,2011,2012,NA,NA,0,NA,"c(12.1385025845785, 12.092888805883, 59.5646717361188, 59.5789651551575)",Värmland,Årjäng,årjäng,G22-12,0.378,1.17,0.29,0.00161,7.355,80.1935483870968,NA,3.7,0.276123,1,1.1e-7,0.1380615,0.276123,1,1,0,16,10,10,1,7,4,2,203377,0.7877117506535144,258187.08408408408,2010,2013,1,1,2
1107,G27-12,M,S,Glaskogen 3,Glaskogen_1112,2011,2012,NA,NA,0,NA,"c(12.1385025845785, 12.092888805883, 59.5646717361188, 59.5789651551575)",Värmland,Årjäng,årjäng,G27-12,0.375,1.06,0.24,0.0011,11.4,81.1302083333333,NA,3.8,0.261963,1,1.8e-7,0.2795715,0.29718,1,1,0,16,10,10,1,7,4,2,203377,0.7877117506535144,258187.08408408408,2011,2016,0,0,1
1108,G56-11,F,S,Glaskogen 3,Glaskogen_1112,2011,2012,NA,NA,0,NA,"c(12.1385025845785, 12.092888805883, 59.5646717361188, 59.5789651551575)",Värmland,Årjäng,årjäng,G56-11,0.375,1.06,0.24,0.0011,11.4,81.1302083333333,NA,3.8,0.29718,1,1.8e-7,0.2795715,0.29718,1,1,0,16,10,10,1,7,4,2,203377,0.7877117506535144,258187.08408408408,2011,2016,0,0,1
1212,G12-10,F,S,Djurskog 3,Djurskog_1011,2010,2011,NA,NA,0,NA,list(),Värmland,Årjäng,årjäng,G12-10,0.365,1.24,0.43,0.00189,16.534,82.7849462365591,NA,3.6,0,1,0,0.1380615,0.276123,1,1,1,6,5,0,0,5,3,0,203978,0.7924772899477673,257392.86486486485,2010,2013,0,0,1
1213,G22-12,M,S,Djurskog 3,Djurskog_1011,2010,2011,NA,NA,0,NA,list(),Värmland,Årjäng,årjäng,G22-12,0.365,1.24,0.43,0.00189,16.534,82.7849462365591,NA,3.6,0.276123,1,0,0.1380615,0.276123,1,1,1,6,5,0,0,5,3,0,203978,0.7924772899477673,257392.86486486485,2010,2013,0,0,1
1226,G26-09,M,S,Glaskogen 2,Glaskogen_1011,2010,2011,illegal,NA,0,NA,list(),Värmland,Årjäng,årjäng,G26-09,0.374,1.06,0.23,5e-4,11.4,82.6875,NA,3.9,0.305908,1,2.8e-7,0.288208,0.305908,1,1,1,6,5,0,0,5,3,0,203978,0.7924772899477673,257392.86486486485,2008,2010,2,2,3
1227,G7-09,F,S,Glaskogen 2,Glaskogen_1011,2010,2011,illegal,NA,0,NA,list(),Värmland,Årjäng,årjäng,G7-09,0.374,1.06,0.23,5e-4,11.4,82.6875,NA,3.9,0.270508,1,2.8e-7,0.288208,0.305908,1,1,1,6,5,0,0,5,3,0,203978,0.7924772899477673,257392.86486486485,2008,2010,2,2,3
