"fate","id","territory","Autumn","Spring","terrRug","humPop","fi","mean_fi","max_fi","mooseHunt","wolfNeighbour","AttackDogs_n","AttackDogs_last5y","AttackDogs_cumall","wolfLKill_n","wolfLKill_last5y","wolfLKill_cumall","sheepAttacks_n","NoAffectedSheep","NoAffectedSheep_last5y","NoAffectedSheep_cumall","IndividualIncome","bearDensity","KommunerNamn","NAME_1","NAME_2","first_yeardet","years_firstdet"
0,"G27-14","Kerto",2013,2014,1.6342869710531,-0.258947321877219,0.498776677604365,-0.068631294491757,0.349980182742911,0.92067980333344,1.62676668265673,3.59676939522855,10,26,-0.311706812883643,0.934529780080709,0.509622887719098,0.316609391130932,-0.232444121524724,2.15618217419849,2.3615061920272,-0.383235915672591,-0.534767386833258,"torsby","Värmland","Torsby",2013,0
0,"G32-12","Kläggen",2013,2014,0.71199751767843,-0.345428208364683,0.570921723580544,0.821834406113157,0.431787988500238,0.635894950410761,2.19624176480723,3.59676939522855,10,26,-0.311706812883643,0.934529780080709,0.509622887719098,0.316609391130932,-0.232444121524724,2.15618217419849,2.3615061920272,-0.383235915672591,-0.378876200480855,"torsby","Värmland","Torsby",2012,1
0,"G18-10","Skugghöjden",2013,2014,1.61122973471874,-0.273098177901249,0.218826001083332,-1.24092385960632,0.0325342617294739,0.635894950410761,1.62676668265673,3.59676939522855,10,26,-0.311706812883643,0.934529780080709,0.509622887719098,0.316609391130932,-0.232444121524724,2.15618217419849,2.3615061920272,-0.383235915672591,-0.59435663466007,"sunne","Värmland","Torsby",2009,4
1,"G48-11","Fänstjärn",2013,2014,-0.302520881033709,-0.488512518948264,-3.04529107741584,-1.11370674084734,0.431787988500238,0.351110097488082,0.487816518355726,3.59676939522855,10,26,-0.311706812883643,0.934529780080709,0.509622887719098,0.316609391130932,-0.232444121524724,2.15618217419849,2.3615061920272,-0.383235915672591,0.0368914504094046,"torsby","Värmland","Torsby",2012,1
1,"M-06-10","Gräsmark 4",2013,2014,1.29995704420478,-0.290833093529618,0.464140435639725,0.696060150707506,0.310704929446341,0.351110097488082,1.62676668265673,3.59676939522855,10,26,-0.311706812883643,0.934529780080709,0.509622887719098,0.316609391130932,-0.232444121524724,2.15618217419849,2.3615061920272,-0.383235915672591,-0.485545035546179,"torsby","Värmland","Torsby",2011,2
1,"G78-11","Medskogen 2",2013,2014,-0.452392917207094,-0.445534700761747,1.11566824310771,1.17339842164969,1.04949523164445,0.7782873768721,1.62676668265673,3.59676939522855,10,26,-0.311706812883643,0.934529780080709,0.509622887719098,0.316609391130932,-0.232444121524724,2.15618217419849,2.3615061920272,-0.383235915672591,0.0148209807091659,"torsby","Värmland","Torsby",2013,0
1,"G10-10","Trång 1",2013,2014,-0.0719485176900412,-0.488512518948264,0.254904434692917,0.623563577959182,0.0734448668697919,0.7782873768721,1.05729160050623,3.59676939522855,10,26,-0.311706812883643,0.934529780080709,0.509622887719098,0.316609391130932,-0.232444121524724,2.15618217419849,2.3615061920272,-0.383235915672591,-0.112489814690686,"torsby","Värmland","Torsby",2009,4
1,"G33-11","Värnas",2013,2014,-0.452392917207094,-0.528678704169308,0.570921723580544,0.853274392360308,0.431787988500238,0.208717671026743,-0.651133645945279,3.59676939522855,10,26,-0.311706812883643,0.934529780080709,0.509622887719098,0.316609391130932,-0.232444121524724,2.15618217419849,2.3615061920272,-0.383235915672591,0.401732742412058,"torsby","Värmland","Torsby",2011,2
0,"G27-14","Kerto",2014,2015,1.51900078938127,-0.29191449082403,0.498776677604365,-0.068631294491757,0.349980182742911,-0.360852034818615,2.76571684695774,4.42799160547522,16,32,-0.311706812883643,0.934529780080709,0.509622887719098,1.0967992764351,1.74611238731478,1.18068503650575,2.79063939217928,-0.355969697672175,-0.470688538142782,"torsby","Värmland","Torsby",2013,1
0,"G141-11","Medskogen 3",2014,2015,-0.498507389875827,-0.522499291058379,0.188528155296515,-0.217659977595004,-0.00182153151254264,-0.218459608357275,1.05729160050623,4.42799160547522,16,32,-0.311706812883643,0.934529780080709,0.509622887719098,1.0967992764351,1.74611238731478,1.18068503650575,2.79063939217928,-0.355969697672175,-0.211730401054312,"torsby","Värmland","Torsby",2014,0
