"fate","id","Spring","terrRug","humPop","fi","mooseHunt","wolfNeighbour","dogattack","artificial_area_total","killedWolves","sheepAttacks","IncAvg1998_2021","bearDensity"
"1","G46-13",2014,0.4,281.085,0.138855,2.5,0,3,0.03636,0,0,NA,0
"1","G51-12",2014,0.15,1.75,0.297363,2.2,2,6,0.00044,28,8,234749.541666667,0.001720874
"1","G109-14",2014,0.3,16.533,0.205933,2.6,0,11,0,0,0,NA,6.18e-07
"1","G45-12",2013,0.318,7.48,0.152161,3.2,3,20,0,0,18,228473.458333333,6.28e-05
"1","G111-10",2013,0.314,29.714,0.256958,3,2,14,0.00092,7,0,NA,0
"0","G50-12",2013,0.172,11.8,0.414307,2.4,2,42,0,12,17,268843.666666667,0.002292121
"0","G102-12",2013,0.137,1.05,0.247803,2.5,0,2,0,26,6,227041.125,0.00145605
"0","G121-11",2013,0.253,0.624,0.277832,2.6,0,13,0.00358,65,0,NA,0.000399959
"1","G47-13",2013,0.338,9.85,0.255676,3.3,5,7,0.00165,6,3,232725.375,4.56e-05
"1","G77-11",2013,0.176,1.88,0.261963,2,0,20,0.01487,0,18,243686.916666667,0.001036253
"1","G1-10",2013,0.169,15.2,0.4104,1.9,1,21,0.00129,2,12,234002,0.002103172
"0","G100-12",2013,0.156,1.05,0.138855,2.5,0,2,0,26,6,227041.125,0.003289963
"1","G2-13",2013,0.295,22.54,0.279175,3.4,0,9,0.00134,1,15,223990.041666667,0
"1","G59-11",2013,0.217,58.75,0.297363,2.8,2,5,0.00871,3,1,251995.666666667,1.17e-08
"1","G55-12",2013,0.24,5.104,0.299805,4,5,47,0.00092,16,44,233516.125,0.000196895
"1","G12-11",2013,0.244,20.15,0,3.3,4,8,0.0011,5,9,252556.375,3.53e-06
"1","G21-11",2013,0.3,23.95,0.299316,2.2,0,6,0.00402,13,4,259731.416666667,0.000216198
"1","G103-10",2013,0.185,3.5,0,3.1,0,26,0.00151,14,18,236247.916666667,0.003028098
"1","G49-13",2013,0.409,12,0.153625,4,1,13,0.00582,8,7,243939.916666667,0
"1","G18-12",2013,0.257,81.333,0.152161,2.2,0,3,0.01834,1,10,255159.958333333,0
"1","G73-10",2013,0.183,7.29,0.28125,2.6,2,9,0.01422,4,0,NA,0.00046486
"1","G2-11",2013,0.34,19.863,0.29541,3.4,2,1,0.00291,1,14,241720.958333333,0
"1","G18-08",2013,0.17,15.2,0.227051,1.9,3,20,0.00318,1,29,268843.666666667,0.001277855
"1","G69-10",2012,0.291,26.048,0.214844,3,0,14,0.00092,7,0,NA,1.1e-06
"1","G80-11",2012,0.239,9.275,0.4104,2.3,4,13,5e-04,8,13,250727.041666667,0.001104394
"0","G1-12",2012,0.174,0.821,0.248535,2.4,2,6,0.00097,28,8,234749.541666667,0.000821821
"1","G21-07",2012,0.202,25.067,0.227051,2.3,5,13,0.00599,8,13,250727.041666667,0.001480576
"1","G21-10",2012,0.224,2.75,0.429688,3.2,4,47,0.00092,16,44,233516.125,0.000365432
"1","G72-10",2012,0.402,6.633,0.269531,3.8,3,21,0.00218,4,9,238039.5,9.3e-05
"1","G24-10",2012,0.177,21.567,0.267578,2.4,3,20,0,1,29,268843.666666667,0.001624989
"1","G19-11",2012,0.172,59.675,0.28125,2.1,2,5,0.00694,0,7,246666.708333333,1.6e-05
"1","M-10-01",2012,0.178,5.133,0.292969,2.8,0,26,0,14,18,236247.916666667,0.004060966
"1","G48-12",2012,0.248,12.35,0.284912,3.5,4,7,0.00125,6,3,232725.375,3.87e-05
"0","G50-11",2012,0.168,0.821,0.261963,2.4,2,6,0.00236,28,8,234749.541666667,0.000794412
"0","G19-12",2012,0.188,24.65,0.270508,2.8,0,0,0.00969,1,0,NA,0.000298465
"1","G32-07",2012,0.25,4.533,0.227051,2.3,3,20,0.00044,0,18,243686.916666667,0.000347029
"1","M-06-09",2011,0.316,7.54,0.267578,2.9,2,21,0.00044,10,13,228473.458333333,0.000167047
"0","D-11-27",2011,0.432,12.067,0.267578,3.9,2,18,0,9,18,243939.916666667,4.15e-05
"1","G111-10",2011,0.309,16.071,0.256958,3.1,1,11,0.00179,0,0,NA,6.95e-06
"0","D-10-70",2011,0.119,0.95,0.28125,2.4,1,6,0.00257,28,8,234749.541666667,0.002189589
"0","M-09-04",2011,0.133,1.915,0.290527,2.3,0,6,0,28,8,234749.541666667,0.001408204
"1","G26-09",2011,0.374,11.4,0.305908,3.9,1,14,5e-04,6,7,232660.041666667,2.76e-07
"0","D-11-20",2011,0.411,20.65,NA,3.9,4,18,0.0041,9,18,241293.666666667,4.4e-05
"0","D-11-19",2011,0.162,2.6,0.1875,3.4,2,5,0.00033,2,0,233970.166666667,0.00254738
"1","G66-10",2011,0.23,26.25,0.270508,2.7,2,5,0.00084,3,1,251995.666666667,9.9e-06
"0","D-10-74",2011,0.153,5.85,0.270508,2.5,1,21,0.00073,2,12,234002,0.003434104
"1","G13-08",2011,0.424,11.625,0.26709,3.9,4,21,0.00221,4,9,238039.5,8.17e-05
"0","D-11-26",2011,0.352,20.657,0.267578,2.7,1,10,0.00084,0,11,230233.25,0
"1","G5-07",2011,0.325,28.532,0.283203,3.3,2,1,0.00093,0,0,NA,0
